Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365CH;B365CD;B365CA;AvgH;AvgD;AvgA;i ;Champion;ChampionshipAchieved;Win;Home;B365WinProb;B365CWinProb;AvgWinProb;GoalDiff;Points;AbsDays;Days
D1;02.09.07;Karlsruhe;Stuttgart;1;0;H;3.6;3.3;2;;;;3.4;3.25;2.06;H;0;0;1;1;0.257009346;;0.27051598;1;3;245;-245
D1;14.09.07;Dortmund;Werder Bremen;3;0;H;2.6;3.25;2.7;;;;2.55;3.22;2.63;H;0;0;1;1;0.361930295;;0.362121089;3;3;233;-233
D1;15.09.07;Bayern Munich;Schalke 04;1;1;D;1.5;4;6.75;;;;1.55;3.65;5.87;H;1;0;0;1;0.626086957;;0.592167268;0;1;232;-232
D1;15.09.07;Bielefeld;Hansa Rostock;4;2;H;1.75;3.5;4.75;;;;1.74;3.38;4.57;H;0;0;1;1;0.535211268;;0.527555021;2;3;232;-232
D1;15.09.07;Ein Frankfurt;Hamburg;2;1;H;2.7;3.25;2.6;;;;2.62;3.2;2.53;H;0;0;1;1;0.348525469;;0.350345759;1;3;232;-232
D1;15.09.07;Leverkusen;Bochum;2;0;H;1.61;3.75;5.5;;;;1.65;3.51;5.07;H;0;0;1;1;0.580699655;;0.55693885;2;3;232;-232
D1;15.09.07;Nurnberg;Hannover;2;2;D;2.1;3.3;3.5;;;;2.14;3.22;3.23;H;0;0;0;1;0.447154472;;0.429712935;0;1;232;-232
D1;15.09.07;Stuttgart;Cottbus;3;0;H;1.36;4.5;9.5;;;;1.39;4.21;7.69;H;0;0;1;1;0.691859524;;0.661848193;3;3;232;-232
D1;16.09.07;Duisburg;Hertha;1;2;A;2.65;3.25;2.65;;;;2.56;3.19;2.6;H;0;0;0;1;0.355191257;;0.358792892;-1;0;231;-231
D1;16.09.07;Wolfsburg;Karlsruhe;1;2;A;1.85;3.5;4.2;;;;1.83;3.31;4.19;H;0;0;0;1;0.507859734;;0.50260746;-1;0;231;-231
D1;21.09.07;Bochum;Ein Frankfurt;0;0;D;2.3;3.3;3.1;;;;2.23;3.23;3.04;H;0;0;0;1;0.41002004;;0.412548894;0;1;226;-226
D1;22.09.07;Cottbus;Wolfsburg;1;2;A;2.6;3.3;2.65;;;;2.55;3.19;2.6;H;0;0;0;1;0.361139789;;0.359693822;-1;0;225;-225
D1;22.09.07;Hamburg;Nurnberg;1;0;H;1.7;3.6;5;;;;1.65;3.45;5.09;H;0;0;1;1;0.551808706;;0.554807829;1;3;225;-225
D1;22.09.07;Hansa Rostock;Duisburg;2;0;H;2.4;3.3;2.9;;;;2.33;3.21;2.87;H;0;0;1;1;0.391411043;;0.394057085;2;3;225;-225
D1;22.09.07;Hertha;Dortmund;3;2;H;2.4;3.3;2.9;;;;2.34;3.21;2.84;H;0;0;1;1;0.391411043;;0.39170899;1;3;225;-225
D1;22.09.07;Schalke 04;Bielefeld;3;0;H;1.44;4.2;7.5;;;;1.44;3.94;6.9;H;0;0;1;1;0.651526433;;0.635252222;3;3;225;-225
D1;22.09.07;Werder Bremen;Stuttgart;4;1;H;2.15;3.3;3.4;;;;2.09;3.25;3.3;H;0;0;1;1;0.437853659;;0.439288128;3;3;225;-225
D1;23.09.07;Hannover;Leverkusen;0;3;A;2.5;3.25;2.8;;;;2.43;3.2;2.71;H;0;0;0;1;0.375644995;;0.376498374;-3;0;224;-224
D1;23.09.07;Karlsruhe;Bayern Munich;1;4;A;7;4.33;1.44;;;;6.46;3.8;1.49;H;0;0;0;1;0.133730257;;0.142134885;-3;0;224;-224
D1;25.09.07;Dortmund;Hamburg;0;3;A;2.2;3.25;3.3;;;;2.21;3.22;3.13;H;0;0;0;1;0.426695842;;0.417989308;-3;0;222;-222
D1;25.09.07;Duisburg;Schalke 04;0;2;A;5;3.5;1.72;;;;4.64;3.37;1.75;H;0;0;0;1;0.187422167;;0.198875037;-2;0;222;-222
D1;25.09.07;Hertha;Hansa Rostock;1;3;A;1.44;4;8.5;;;;1.46;3.87;7.26;H;0;0;0;1;0.653846154;;0.633567853;-2;0;222;-222
D1;25.09.07;Wolfsburg;Werder Bremen;1;1;D;3.4;3.3;2.15;;;;3.21;3.28;2.15;H;0;0;0;1;0.276878049;;0.288044832;0;1;222;-222
D1;26.09.07;Bayern Munich;Cottbus;5;0;H;1.12;8;21;;;;1.13;7.12;17.65;H;1;0;1;1;0.837988827;;0.817841689;5;3;221;-221
D1;26.09.07;Bielefeld;Hannover;0;2;A;2.25;3.25;3.2;;;;2.18;3.23;3.14;H;0;0;0;1;0.417461114;;0.422085164;-2;0;221;-221
D1;26.09.07;Ein Frankfurt;Karlsruhe;0;1;A;1.72;3.5;5;;;;1.73;3.39;4.66;H;0;0;0;1;0.54483188;;0.531471308;-1;0;221;-221
D1;26.09.07;Nurnberg;Leverkusen;1;2;A;2.5;3.3;2.75;;;;2.5;3.22;2.67;H;0;0;0;1;0.375;;0.368632731;-1;0;221;-221
D1;26.09.07;Stuttgart;Bochum;1;0;H;1.53;3.75;6.25;;;;1.54;3.69;6.07;H;0;0;1;1;0.605033882;;0.598425807;1;3;221;-221
D1;28.09.07;Schalke 04;Hertha;1;0;H;1.57;3.8;6;;;;1.56;3.63;5.89;H;0;0;1;1;0.597077463;;0.59010706;1;3;219;-219
D1;29.09.07;Bochum;Nurnberg;3;3;D;2.37;3.25;3;;;;2.29;3.21;2.94;H;0;0;0;1;0.396946565;;0.401234647;0;1;218;-218
D1;29.09.07;Hamburg;Wolfsburg;2;2;D;1.66;3.75;5;;;;1.63;3.52;5.19;H;0;0;0;1;0.563486101;;0.562703866;0;1;218;-218
D1;29.09.07;Hansa Rostock;Stuttgart;2;1;H;3.6;3.5;2;;;;3.41;3.26;2.04;H;0;0;1;1;0.26119403;;0.268992129;1;3;218;-218
D1;29.09.07;Karlsruhe;Dortmund;3;1;H;2.8;3.25;2.5;;;;2.67;3.21;2.48;H;0;0;1;1;0.335397317;;0.343833007;2;3;218;-218
D1;29.09.07;Leverkusen;Bayern Munich;0;1;A;4.33;3.6;1.8;;;;4.28;3.38;1.79;H;0;0;0;1;0.216998192;;0.21471513;-1;0;218;-218
D1;29.09.07;Werder Bremen;Bielefeld;8;1;H;1.44;4.33;7;;;;1.45;3.94;6.89;H;0;0;1;1;0.65007764;;0.633524776;7;3;218;-218
