Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365CH;B365CD;B365CA;AvgH;AvgD;AvgA;i ;Champion;ChampionshipAchieved;Win;Home;B365WinProb;B365CWinProb;AvgWinProb;GoalDiff;Points;AbsDays;Days
E0;26.08.07;Middlesbrough;Newcastle;2;2;D;2.6;3.2;2.62;;;;2.56;3.16;2.66;H;0;0;0;1;0.356523218;;0.360681061;0;1;259;-259
E0;01.09.07;Bolton;Everton;1;2;A;2.4;3.2;2.87;;;;2.39;3.2;2.84;H;0;0;0;1;0.386662176;;0.386335425;-1;0;253;-253
E0;01.09.07;Fulham;Tottenham;3;3;D;3.1;3.2;2.25;;;;3.1;3.23;2.23;H;0;0;0;1;0.298817182;;0.298517545;0;1;253;-253
E0;01.09.07;Liverpool;Derby;6;0;H;1.16;6;19;;;;1.18;5.9;14.68;H;0;0;1;1;0.797202797;;0.781017238;6;3;253;-253
E0;01.09.07;Man United;Sunderland;1;0;H;1.16;6;19;;;;1.2;5.69;13.67;H;1;0;1;1;0.797202797;;0.770012761;1;3;253;-253
E0;01.09.07;Middlesbrough;Birmingham;2;0;H;2;3.2;3.75;;;;2;3.26;3.63;H;0;0;1;1;0.463320463;;0.462008761;2;3;253;-253
E0;01.09.07;Newcastle;Wigan;1;0;H;1.72;3.5;4.75;;;;1.71;3.4;4.85;H;0;0;1;1;0.539509979;;0.538932919;1;3;253;-253
E0;01.09.07;Reading;West Ham;0;3;A;2.2;3.2;3.25;;;;2.18;3.24;3.19;H;0;0;0;1;0.422936153;;0.424407671;-3;0;253;-253
E0;02.09.07;Arsenal;Portsmouth;3;1;H;1.5;3.75;7;;;;1.5;3.74;6.84;H;0;0;1;1;0.619469027;;0.61714385;2;3;252;-252
E0;02.09.07;Aston Villa;Chelsea;2;0;H;5.5;3.6;1.61;;;;5.31;3.43;1.66;H;0;0;1;1;0.168238948;;0.174006852;2;3;252;-252
E0;02.09.07;Blackburn;Man City;1;0;H;2.2;3.2;3.25;;;;2.17;3.22;3.21;H;0;0;1;1;0.422936153;;0.425545405;1;3;252;-252
E0;15.09.07;Birmingham;Bolton;1;0;H;2.37;3.25;3;;;;2.38;3.2;2.82;H;0;0;1;1;0.396946565;;0.38644033;1;3;239;-239
E0;15.09.07;Chelsea;Blackburn;0;0;D;1.36;4.33;10;;;;1.37;4.23;8.55;H;0;0;0;1;0.689613434;;0.673804054;0;1;239;-239
E0;15.09.07;Everton;Man United;0;1;A;4.5;3.5;1.8;;;;4.29;3.34;1.8;H;0;0;0;1;0.208955224;;0.214235317;-1;0;239;-239
E0;15.09.07;Portsmouth;Liverpool;0;0;D;5;3.5;1.72;;;;4.8;3.38;1.72;H;0;0;0;1;0.187422167;;0.191908522;0;1;239;-239
E0;15.09.07;Sunderland;Reading;2;1;H;2.25;3.25;3.2;;;;2.27;3.21;2.99;H;0;0;1;1;0.417461114;;0.405455413;1;3;239;-239
E0;15.09.07;Tottenham;Arsenal;1;3;A;2.8;3.2;2.5;;;;2.78;3.17;2.45;H;0;0;0;1;0.333889816;;0.332042189;-2;0;239;-239
E0;15.09.07;West Ham;Middlesbrough;3;0;H;2;3.4;3.75;;;;1.96;3.25;3.7;H;0;0;1;1;0.471349353;;0.468865754;3;3;239;-239
E0;15.09.07;Wigan;Fulham;1;1;D;2.1;3.25;3.6;;;;2.1;3.22;3.33;H;0;0;0;1;0.44853364;;0.438057653;0;1;239;-239
E0;16.09.07;Man City;Aston Villa;1;0;H;2.37;3.25;3;;;;2.23;3.2;3.07;H;0;0;1;1;0.396946565;;0.412667342;1;3;238;-238
E0;17.09.07;Derby;Newcastle;1;0;H;4.33;3.25;1.9;;;;4.09;3.31;1.85;H;0;0;1;1;0.2168607;;0.224897991;1;3;237;-237
E0;22.09.07;Arsenal;Derby;5;0;H;1.14;7;23;;;;1.16;6.12;16.55;H;0;0;1;1;0.824795082;;0.793881953;5;3;232;-232
E0;22.09.07;Fulham;Man City;3;3;D;2.5;3.25;2.8;;;;2.5;3.17;2.7;H;0;0;0;1;0.375644995;;0.368382543;0;1;232;-232
E0;22.09.07;Liverpool;Birmingham;0;0;D;1.22;5.25;17;;;;1.21;5.42;13.61;H;0;0;0;1;0.766785515;;0.762106568;0;1;232;-232
