Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365CH;B365CD;B365CA;AvgH;AvgD;AvgA;i ;Champion;ChampionshipAchieved;Win;Home;B365WinProb;B365CWinProb;AvgWinProb;GoalDiff;Points;AbsDays;Days
F1;19.09.20;Lens;Bordeaux;2;1;H;2.3;3.1;3.4;2.37;3;3.4;2.36;3.07;3.32;H;0;0;1;1;0.413495488;0.402081362;0.403295242;1;3;246;-246
F1;19.09.20;Rennes;Monaco;2;1;H;2.35;3.4;3;2.25;3.5;3;2.32;3.37;3.1;H;0;0;1;1;0.404120444;0.417910448;0.410371837;1;3;246;-246
F1;20.09.20;Nice;Paris SG;0;3;A;7.5;5;1.4;11;5.5;1.28;7.45;4.7;1.42;H;0;0;0;1;0.127272727;0.086253369;0.127688069;-3;0;245;-245
F1;20.09.20;Brest;Lorient;3;2;H;2.4;3.1;3.2;2.2;3.25;3.3;2.38;3.22;3.11;H;0;0;1;1;0.396166134;0.426695842;0.399296639;1;3;245;-245
F1;20.09.20;Metz;Reims;2;1;H;2.55;3;3.1;2.8;2.9;2.75;2.63;2.87;3.1;H;0;0;1;1;0.374170187;0.335154444;0.361694602;1;3;245;-245
F1;20.09.20;Montpellier;Angers;4;1;H;2.1;3.25;3.75;1.85;3.3;4.5;2.14;3.27;3.6;H;0;0;1;1;0.453277545;0.507172131;0.444666047;3;3;245;-245
F1;20.09.20;Strasbourg;Dijon;1;0;H;1.65;3.75;5.5;1.57;3.8;6;1.7;3.74;5.15;H;0;0;1;1;0.574712644;0.597077463;0.560336301;1;3;245;-245
F1;20.09.20;Nantes;St Etienne;2;2;D;2.3;3.1;3.4;2.2;3.1;3.6;2.32;3.2;3.25;H;0;0;0;1;0.413495488;0.430888031;0.410029964;0;1;245;-245
F1;20.09.20;Marseille;Lille;1;1;D;2.3;3.2;3.3;2.45;3.2;3;2.34;3.19;3.22;H;0;0;0;1;0.413955312;0.387252925;0.406462693;0;1;245;-245
F1;25.09.20;Lille;Nantes;2;0;H;1.66;3.75;5.5;1.61;3.8;5.5;1.68;3.67;5.55;H;1;0;1;1;0.573235131;0.582610877;0.568030654;2;3;240;-240
F1;26.09.20;St Etienne;Rennes;0;3;A;2.87;3.1;2.6;3.1;3.1;2.45;2.84;3.12;2.62;H;0;0;0;1;0.330070846;0.30625;0.33397614;-3;0;239;-239
F1;26.09.20;Marseille;Metz;1;1;D;1.61;3.75;6;1.57;3.75;6.5;1.66;3.67;5.68;H;0;0;0;1;0.589043786;0.602335207;0.573207284;0;1;239;-239
F1;27.09.20;Bordeaux;Nice;0;0;D;2.1;3.25;3.6;2;3.3;3.8;2.18;3.19;3.54;H;0;0;0;1;0.44853364;0.468960359;0.434932984;0;1;238;-238
F1;27.09.20;Angers;Brest;3;2;H;2.05;3.3;3.8;2.05;3.4;3.75;2.08;3.26;3.76;H;0;0;1;1;0.462816018;0.465201131;0.456365044;1;3;238;-238
F1;27.09.20;Dijon;Montpellier;2;2;D;4.5;3.6;1.8;5;3.75;1.7;4.22;3.65;1.84;H;0;0;0;1;0.210526316;0.189591078;0.224737149;0;1;238;-238
F1;27.09.20;Monaco;Strasbourg;3;2;H;1.85;3.5;4.2;1.7;3.75;5;1.86;3.56;4.23;H;0;0;1;1;0.507859734;0.557620818;0.509635105;1;3;238;-238
F1;27.09.20;Nimes;Lens;1;1;D;2.6;3.3;2.75;3.3;3.4;2.1;2.65;3.28;2.69;H;0;0;0;1;0.365853659;0.28232503;0.358030653;0;1;238;-238
F1;27.09.20;Lorient;Lyon;1;1;D;5.75;4.2;1.57;4.5;3.8;1.72;5.33;4.13;1.61;H;0;0;0;1;0.165797116;0.208312086;0.178535852;0;1;238;-238
F1;27.09.20;Reims;Paris SG;0;2;A;13;6;1.22;13;6;1.2;11.43;6.15;1.25;H;0;0;0;1;0.072346314;0.071428571;0.083315722;-2;0;238;-238
F1;02.10.20;Paris SG;Angers;6;1;H;1.1;9;21;1.08;10;23;1.09;10.94;23.63;H;0;0;1;1;0.851351351;0.865833459;0.872781476;5;3;233;-233
F1;03.10.20;Lens;St Etienne;2;0;H;1.95;3.5;4.2;1.8;3.6;4.5;2.04;3.38;3.76;H;0;0;1;1;0.494699647;0.526315789;0.465960754;2;3;232;-232
F1;03.10.20;Nice;Nantes;2;1;H;2.45;3.25;3;2.2;3.4;3.25;2.44;3.23;3;H;0;0;1;1;0.389027431;0.43029595;0.389294208;1;3;232;-232
F1;04.10.20;Montpellier;Nimes;0;1;A;1.66;3.8;5.5;1.7;3.8;5;1.69;3.79;5.12;H;0;0;0;1;0.575155485;0.559481743;0.563066736;-1;0;231;-231
F1;04.10.20;Bordeaux;Dijon;3;0;H;1.66;3.8;5.25;1.65;3.8;5.25;1.69;3.78;5.08;H;0;0;1;1;0.570440054;0.571920017;0.561871266;3;3;231;-231
F1;04.10.20;Brest;Monaco;1;0;H;3.1;3.6;2.2;2.8;3.75;2.3;3.04;3.65;2.22;H;0;0;1;1;0.305791506;0.337375318;0.31228081;1;3;231;-231
F1;04.10.20;Metz;Lorient;3;1;H;2.3;3.2;3.3;2.25;3.2;3.4;2.27;3.26;3.26;H;0;0;1;1;0.413955312;0.422852701;0.417948718;2;3;231;-231
F1;04.10.20;Strasbourg;Lille;0;3;A;3.3;3.3;2.25;4;3.3;2.05;3.29;3.26;2.26;H;0;0;0;1;0.288461538;0.240191727;0.288604064;-3;0;231;-231
F1;04.10.20;Rennes;Reims;2;2;D;1.61;3.75;6;1.75;3.6;5;1.65;3.76;5.64;H;0;0;0;1;0.589043786;0.544629349;0.577572965;0;1;231;-231
F1;04.10.20;Lyon;Marseille;1;1;D;1.7;3.8;5;1.75;3.6;4.75;1.7;3.84;4.9;H;0;0;0;1;0.559481743;0.539219551;0.558769377;0;1;231;-231
F1;16.10.20;Dijon;Rennes;1;1;D;5.25;3.8;1.66;5.25;4;1.61;5.02;3.92;1.68;H;0;0;0;1;0.180367712;0.179424671;0.189799871;0;1;219;-219
F1;16.10.20;Nimes;Paris SG;0;4;A;6.5;5;1.4;8;5.25;1.33;7.19;5.02;1.41;H;0;0;0;1;0.144032922;0.117111829;0.132774588;-4;0;219;-219
F1;17.10.20;Reims;Lorient;1;3;A;2.1;3.4;3.6;2.05;3.5;3.75;2.11;3.36;3.56;H;0;0;0;1;0.454342984;0.468959357;0.450313973;-2;0;218;-218
F1;17.10.20;Marseille;Bordeaux;3;1;H;2;3.5;3.8;2.05;3.5;3.4;2.03;3.39;3.79;H;0;0;1;1;0.476702509;0.456901517;0.468506937;2;3;218;-218
F1;18.10.20;Strasbourg;Lyon;2;3;A;3.6;3.3;2.15;5;3.75;1.7;3.46;3.34;2.14;H;0;0;0;1;0.265581134;0.189591078;0.273766297;-1;0;217;-217
F1;18.10.20;Angers;Metz;1;1;D;2;3.4;3.9;2.05;3.4;3.8;2.04;3.33;3.84;H;0;0;0;1;0.475951184;0.466763006;0.4664478;0;1;217;-217
F1;18.10.20;Monaco;Montpellier;1;1;D;;;;;;;1.5;4.64;6;H;0;0;0;1;;;0.635616438;0;1;217;-217
F1;18.10.20;Nantes;Brest;3;1;H;2.15;3.4;3.4;2.2;3.4;3.3;2.14;3.47;3.36;H;0;0;1;1;0.441558442;0.43220339;0.443730638;2;3;217;-217
F1;18.10.20;St Etienne;Nice;1;3;A;2.25;3.25;3.25;2.87;3.3;2.5;2.34;3.25;3.16;H;0;0;0;1;0.419354839;0.331378535;0.406420414;-2;0;217;-217
F1;18.10.20;Lille;Lens;4;0;H;1.83;3.6;4.33;1.95;3.3;4.2;1.87;3.55;4.26;H;1;0;1;1;0.517875475;0.48657188;0.508717459;4;3;217;-217
F1;23.10.20;Rennes;Angers;1;2;A;2.05;3.4;3.5;2.25;3.25;3.2;2.07;3.3;3.8;H;0;0;0;1;0.456901517;0.417461114;0.460403128;-1;0;212;-212
F1;24.10.20;Lorient;Marseille;0;1;A;2.87;3.4;2.4;2.75;3.1;2.7;2.96;3.26;2.46;H;0;0;0;1;0.328952673;0.344161184;0.321416548;-1;0;211;-211
F1;24.10.20;Paris SG;Dijon;4;0;H;1.06;12;23;1.08;12;21;1.05;15.05;34.44;H;0;0;1;1;0.881507506;0.876095119;0.90888001;4;3;211;-211
F1;25.10.20;Bordeaux;Nimes;2;0;H;1.95;3.3;4;1.75;3.75;4.75;1.95;3.49;3.98;H;0;0;1;1;0.481137233;0.544933078;0.488117034;2;3;210;-210
F1;25.10.20;Brest;Strasbourg;0;3;A;2.15;3.5;3.2;2.25;3.6;2.9;2.23;3.59;3.09;H;0;0;0;1;0.437414567;0.416517056;0.426830066;-3;0;210;-210
F1;25.10.20;Metz;St Etienne;2;0;H;2.37;3.2;3.1;2.1;3.2;3.8;2.38;3.3;3.06;H;0;0;1;1;0.399179107;0.452717796;0.400161681;2;3;210;-210
F1;25.10.20;Montpellier;Reims;0;4;A;1.85;3.5;4.2;1.85;3.5;4.5;2.08;3.28;3.72;H;0;0;0;1;0.507859734;0.515548282;0.455936865;-4;0;210;-210
F1;25.10.20;Nice;Lille;1;1;D;3.5;3.1;2.2;4;3.4;2;3.33;3.36;2.21;H;0;0;0;1;0.268821443;0.23943662;0.285889188;0;1;210;-210
F1;25.10.20;Lyon;Monaco;4;1;H;1.65;4;4.75;1.75;3.8;4.33;1.68;4.22;4.57;H;0;0;1;1;0.568224299;0.53628408;0.566341483;3;3;210;-210
F1;31.10.20;Rennes;Brest;2;1;H;1.9;3.75;3.8;1.83;3.8;3.8;1.99;3.6;3.69;H;0;0;1;1;0.49833887;0.509383378;0.477994754;1;3;204;-204
F1;31.10.20;Nantes;Paris SG;0;3;A;7.5;4.75;1.4;7.5;4.75;1.4;7.27;4.92;1.41;H;0;0;0;1;0.126006632;0.126006632;0.130998578;-3;0;204;-204
F1;01.11.20;St Etienne;Montpellier;0;1;A;2.4;3.25;3;2.62;3.25;2.75;2.4;3.43;2.92;H;0;0;0;1;0.393939394;0.362465781;0.396569474;-1;0;203;-203
F1;01.11.20;Angers;Nice;0;3;A;2.25;3.2;3.4;2.3;3.3;3.1;2.25;3.32;3.29;H;0;0;0;1;0.422852701;0.41002004;0.42344148;-3;0;203;-203
F1;01.11.20;Dijon;Lorient;0;0;D;3.2;3.5;2.2;3.25;3.5;2.15;3.14;3.45;2.27;H;0;0;0;1;0.296838859;0.290680831;0.303637132;0;1;203;-203
F1;01.11.20;Nimes;Metz;0;1;A;2.45;3.25;3;2.9;3.1;2.55;2.49;3.26;2.93;H;0;0;0;1;0.389027431;0.325442569;0.382609183;-1;0;203;-203
F1;01.11.20;Reims;Strasbourg;2;1;H;2.3;3.2;3.25;2.7;3.1;2.75;2.34;3.3;3.12;H;0;0;1;1;0.412126015;0.350534539;0.406654344;1;3;203;-203
F1;01.11.20;Monaco;Bordeaux;4;0;H;1.85;3.6;4.2;1.75;4;4.33;1.91;3.76;3.88;H;0;0;1;1;0.511675127;0.542989262;0.499938316;4;3;203;-203
F1;01.11.20;Lille;Lyon;1;1;D;2.8;3.25;2.6;2.8;3.3;2.5;2.74;3.28;2.64;H;1;0;0;1;0.340314136;0.336872193;0.348038585;0;1;203;-203
F1;06.11.20;Strasbourg;Marseille;0;1;A;2.87;3.3;2.45;2.5;3.1;3;3.04;3.16;2.48;H;0;0;0;1;0.328825623;0.378818737;0.31369284;-1;0;198;-198
F1;07.11.20;Bordeaux;Montpellier;0;2;A;2.3;3.3;3.1;2.55;3.3;2.75;2.36;3.3;3.07;H;0;0;0;1;0.41002004;0.37037037;0.402595751;-2;0;197;-197
F1;07.11.20;Paris SG;Rennes;3;0;H;1.4;5.25;6.5;1.44;4.75;6;1.42;4.95;6.94;H;0;0;1;1;0.674740484;0.648021828;0.670475127;3;3;197;-197
F1;08.11.20;Brest;Lille;3;2;H;3.75;3.5;1.95;4.75;3.8;1.7;3.66;3.53;2.02;H;0;0;1;1;0.250343879;0.198250729;0.259827428;1;3;196;-196
F1;08.11.20;Lens;Reims;4;4;D;2.1;3.4;3.6;2.15;3.4;3.5;2.14;3.27;3.61;H;0;0;0;1;0.454342984;0.445109407;0.444991876;0;1;196;-196
F1;08.11.20;Lorient;Nantes;0;2;A;2.37;3.2;3.1;2.7;3.2;2.75;2.42;3.2;3.04;H;0;0;0;1;0.399179107;0.35391112;0.391803067;-2;0;196;-196
F1;08.11.20;Metz;Dijon;1;1;D;1.75;3.6;4.75;2.05;3.4;3.8;1.76;3.65;4.78;H;0;0;0;1;0.539219551;0.466763006;0.540425848;0;1;196;-196
F1;08.11.20;Nimes;Angers;1;5;A;3.1;3.2;2.3;2.9;3.2;2.45;3.01;3.24;2.43;H;0;0;0;1;0.301515772;0.323632611;0.315686911;-4;0;196;-196
F1;08.11.20;Nice;Monaco;1;2;A;3.2;3.6;2.15;3.5;3.6;2;3.16;3.67;2.17;H;0;0;0;1;0.296097934;0.268656716;0.301453916;-1;0;196;-196
F1;08.11.20;Lyon;St Etienne;2;1;H;1.4;4.75;7.5;1.3;5.5;11;1.37;5.12;8.09;H;0;0;1;1;0.675035528;0.738255034;0.695931517;1;3;196;-196
F1;20.11.20;Rennes;Bordeaux;0;1;A;1.75;3.6;4.75;1.95;3.3;3.75;1.81;3.48;4.78;H;0;0;0;1;0.539219551;0.473729543;0.526655058;-1;0;184;-184
F1;20.11.20;Monaco;Paris SG;3;2;H;5.25;4.75;1.5;6;5;1.45;5.28;4.89;1.53;H;0;0;1;1;0.178403756;0.157780196;0.180807795;1;3;184;-184
F1;21.11.20;Brest;St Etienne;4;1;H;2.1;3.5;3.4;2.25;3.5;3.1;2.15;3.55;3.27;H;0;0;1;1;0.450928382;0.422178988;0.441866662;3;3;183;-183
F1;22.11.20;Nantes;Metz;1;1;D;2.25;3.1;3.5;2.15;3.2;3.6;2.25;3.2;3.39;H;0;0;0;1;0.422178988;0.440703902;0.422503943;0;1;182;-182
F1;22.11.20;Dijon;Lens;0;1;A;3.5;3.4;2.15;4.5;3.8;1.75;3.41;3.43;2.14;H;0;0;0;1;0.27342435;0.21027668;0.278735774;-1;0;182;-182
F1;22.11.20;Montpellier;Strasbourg;4;3;H;2.05;3.5;3.6;1.9;3.4;4.33;2.09;3.44;3.54;H;0;0;1;1;0.464002946;0.500595056;0.454968654;1;3;182;-182
F1;22.11.20;Reims;Nimes;0;1;A;1.85;3.5;4.5;1.8;3.6;4.5;1.9;3.58;4.08;H;0;0;0;1;0.515548282;0.526315789;0.500898479;-1;0;182;-182
F1;22.11.20;Angers;Lyon;0;1;A;5;4.2;1.61;4.2;3.8;1.8;4.98;4.09;1.65;H;0;0;0;1;0.18881939;0.225296443;0.190993301;-1;0;182;-182
F1;22.11.20;Lille;Lorient;4;0;H;1.6;3.8;6;1.57;3.8;6;1.59;3.91;5.97;H;1;0;1;1;0.592515593;0.597077463;0.597735321;4;3;182;-182
F1;25.11.20;Lens;Nantes;1;1;D;1.9;3.5;4;2.25;3.3;3.2;1.98;3.48;3.88;H;0;0;0;1;0.495575221;0.419297201;0.480936912;0;1;179;-179
F1;27.11.20;Strasbourg;Rennes;1;1;D;3.2;3.2;2.3;3.2;3.2;2.3;3.11;3.22;2.41;H;0;0;0;1;0.294871795;0.294871795;0.307097489;0;1;177;-177
F1;28.11.20;Marseille;Nantes;3;1;H;2.05;3.4;3.5;1.95;3.4;4;2.11;3.3;3.64;H;0;0;1;1;0.456901517;0.485194435;0.450640396;2;3;176;-176
F1;28.11.20;Paris SG;Bordeaux;2;2;D;1.12;8.5;17;1.16;8;13;1.18;7.59;14.25;H;0;0;0;1;0.83497053;0.810221253;0.807575225;0;1;176;-176
F1;29.11.20;Lyon;Reims;3;0;H;1.4;4.75;7;1.4;4.75;7;1.39;5.01;7.5;H;0;0;1;1;0.669014085;0.669014085;0.683630528;3;3;175;-175
F1;29.11.20;Lens;Angers;1;3;A;2.15;3.25;3.5;2.1;3.4;3.6;2.13;3.35;3.52;H;0;0;0;1;0.439401255;0.454342984;0.446242398;-2;0;175;-175
F1;29.11.20;Lorient;Montpellier;0;1;A;3.25;3.4;2.1;3.8;3.6;1.95;3.31;3.42;2.18;H;0;0;0;1;0.285428743;0.249733191;0.28684652;-1;0;175;-175
F1;29.11.20;Metz;Brest;0;2;A;2.2;3.2;3.3;2.3;3.25;3.2;2.28;3.32;3.19;H;0;0;0;1;0.424778761;0.412126015;0.416409789;-2;0;175;-175
