Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365CH;B365CD;B365CA;AvgH;AvgD;AvgA;i ;Champion;ChampionshipAchieved;Win;Home;B365WinProb;B365CWinProb;AvgWinProb;GoalDiff;Points;AbsDays;Days
F1;19.08.07;Marseille;Nancy;2;2;D;1.6;3.3;5.5;;;;1.6;3.38;5.7;H;0;0;0;1;0.563139932;;0.570101201;0;1;272;-272
F1;19.08.07;Nice;Rennes;1;1;D;2.2;2.87;3.25;;;;2.32;2.88;3.14;H;0;0;0;1;0.40925345;;0.393018566;0;1;272;-272
F1;25.08.07;Bordeaux;Lorient;2;2;D;1.83;3;4.33;;;;1.82;3.09;4.49;H;0;0;0;1;0.491972777;;0.501418519;0;1;266;-266
F1;25.08.07;Caen;Marseille;1;2;A;3.4;2.87;2.3;;;;3.24;2.89;2.26;H;0;0;0;1;0.273005501;;0.281314876;-1;0;266;-266
F1;25.08.07;Monaco;Le Mans;3;1;H;1.9;3;4;;;;1.94;3.01;4.01;H;0;0;1;1;0.4743083;;0.469856631;2;3;266;-266
F1;25.08.07;Nancy;Auxerre;4;1;H;1.9;3;4;;;;1.91;3.02;4.15;H;0;0;1;1;0.4743083;;0.477853567;3;3;266;-266
F1;25.08.07;Nice;Toulouse;1;1;D;2.1;2.87;3.5;;;;2.22;2.91;3.32;H;0;0;0;1;0.428870293;;0.411258397;0;1;266;-266
F1;25.08.07;Rennes;Metz;2;0;H;1.66;3.25;5;;;;1.64;3.31;5.36;H;0;0;1;1;0.542661546;;0.555111951;2;3;266;-266
F1;25.08.07;Strasbourg;Lens;2;1;H;2.5;2.87;2.8;;;;2.5;2.88;2.86;H;0;0;1;1;0.36180271;;0.364673172;1;3;266;-266
F1;25.08.07;Valenciennes;Sochaux;3;1;H;2.05;2.87;3.6;;;;2.08;2.95;3.6;H;0;0;1;1;0.437880104;;0.438046527;2;3;266;-266
F1;26.08.07;Lyon;St Etienne;1;0;H;1.53;3.6;6.5;;;;1.5;3.57;6.8;H;1;0;1;1;0.602270095;;0.609475032;1;3;265;-265
F1;26.08.07;Paris SG;Lille;1;1;D;1.9;3.1;4.33;;;;1.91;3.05;4.13;H;0;0;0;1;0.487400145;;0.478766871;0;1;265;-265
F1;28.08.07;Lorient;Valenciennes;1;3;A;2;3;4;;;;1.93;3.03;4.07;H;0;0;0;1;0.461538462;;0.473672081;-2;0;263;-263
F1;29.08.07;Auxerre;Rennes;0;2;A;2.1;2.9;3.5;;;;2.25;2.91;3.24;H;0;0;0;1;0.430267062;;0.405245445;-2;0;262;-262
F1;29.08.07;Le Mans;Paris SG;0;2;A;2.25;2.87;3.1;;;;2.33;2.89;3.09;H;0;0;0;1;0.398441524;;0.390583244;-2;0;262;-262
F1;29.08.07;Lille;Monaco;0;1;A;2.05;2.9;3.6;;;;2.23;2.9;3.3;H;0;0;0;1;0.439301494;;0.409044281;-1;0;262;-262
F1;29.08.07;Marseille;Nice;0;2;A;1.5;3.5;7.5;;;;1.54;3.45;6.35;H;0;0;0;1;0.614035088;;0.592102596;-2;0;262;-262
F1;29.08.07;Metz;Bordeaux;0;1;A;3;2.9;2.3;;;;2.99;2.88;2.41;H;0;0;0;1;0.299506062;;0.304984203;-1;0;262;-262
F1;29.08.07;Sochaux;Lyon;1;2;A;5;3.1;1.8;;;;4.4;3.08;1.83;H;0;0;0;1;0.185505319;;0.206913261;-1;0;262;-262
F1;29.08.07;St Etienne;Strasbourg;2;0;H;1.75;3;4.5;;;;1.86;3.04;4.31;H;0;0;1;1;0.507042254;;0.489381252;2;3;262;-262
F1;01.09.07;Bordeaux;Monaco;2;1;H;2.2;2.87;3.6;;;;2.12;2.91;3.52;H;0;0;1;1;0.420581291;;0.429038149;1;3;259;-259
F1;01.09.07;Caen;Sochaux;2;2;D;2.2;2.87;3.3;;;;2.2;2.9;3.36;H;0;0;0;1;0.41097852;;0.414356183;0;1;259;-259
F1;01.09.07;Lyon;Le Mans;3;2;H;1.4;3.75;10;;;;1.44;3.7;7.59;H;1;0;1;1;0.660792952;;0.633347316;1;3;259;-259
F1;01.09.07;Nancy;St Etienne;2;0;H;2;3;3.75;;;;1.99;3;3.85;H;0;0;1;1;0.454545455;;0.458670055;2;3;259;-259
F1;01.09.07;Rennes;Lille;2;2;D;2.1;2.9;3.5;;;;2.04;2.92;3.76;H;0;0;0;1;0.430267062;;0.44619286;0;1;259;-259
F1;01.09.07;Strasbourg;Lorient;0;0;D;2.25;2.87;3.2;;;;2.2;2.9;3.37;H;0;0;0;1;0.40207517;;0.414690033;0;1;259;-259
F1;01.09.07;Toulouse;Auxerre;2;0;H;1.9;3;4;;;;1.93;3.01;4.06;H;0;0;1;1;0.4743083;;0.472463533;2;3;259;-259
F1;01.09.07;Valenciennes;Metz;0;0;D;1.72;3.25;4.5;;;;1.71;3.2;4.95;H;0;0;0;1;0.523162225;;0.531963125;0;1;259;-259
F1;02.09.07;Nice;Lens;1;0;H;2.37;3;3.1;;;;2.37;2.88;3.07;H;0;0;1;1;0.391463569;;0.385370765;1;3;258;-258
F1;02.09.07;Paris SG;Marseille;1;1;D;2.3;2.87;3.4;;;;2.28;2.89;3.21;H;0;0;0;1;0.403573349;;0.400126807;0;1;258;-258
